t [s]	 PWM output 3	 battery voltage (V)	 current (A)	 north velocity(m/s)	 down velocity (m/s)	 pitch (deg)	 voltage 1 (V)	throttle	rpm
187	1538	22.90882	28.39877	-10.11508	1.068755	-10.71677	2.478006	1.6128	50412
187.5	1565	22.8889	26.14816	-10.36562	1.005057	-9.496698	2.468231	1.5188	46296
188	1537	22.72685	19.16343	-10.65722	0.7292382	-12.99676	2.487781	1.5031	44384
188.5	1554	22.72092	34.60495	-11.17086	0.5854631	-17.48755	2.458456	1.4639	42624
189	1462	22.65424	35.95383	-11.76819	0.4878977	-17.2325	2.482893	1.4796	45370
189.5	1478	22.64231	26.34499	-12.10821	0.33537	-15.60712	2.473118	1.5266	46402
190	1608	22.6436	38.16751	-12.1074	0.288026	-15.52361	2.453568	1.3777	43256
190.5	1461	22.66444	34.76945	-11.99126	0.2869592	-15.66344	2.478006	1.5031	41163
191	1568	22.63131	27.29858	-11.6086	0.1631652	-14.96481	2.482893	1.5423	45880
191.5	1534	22.71398	35.90829	-11.14476	0.09939428	-14.59613	2.473118	1.6128	46827
192	1551	22.79265	29.09618	-10.64722	0.3758142	-14.80461	2.487781	1.3777	42535
192.5	1599	22.80445	34.19634	-10.12931	0.6609046	-11.76871	2.44868	1.6207	46720
193	1581	22.86782	28.44513	-9.682713	0.9689735	-11.9667	2.44868	1.5344	43719
193.5	1530	22.82473	27.0187	-9.263247	1.231327	-10.32441	2.482893	1.5109	45471
194	1562	22.72006	19.44436	-8.55578	1.238528	-9.170274	2.453568	1.5736	48844
194.5	1613	22.64803	35.74871	-7.436335	1.012896	-11.98011	2.443793	1.5736	48153
195	1641	22.48165	39.74531	-6.172863	0.5596146	-14.3742	2.443793	1.5658	47261
195.5	1669	22.42086	45.75703	-4.518293	0.04509102	-16.00668	2.414467	1.6285	51557
196	1715	22.46364	39.31455	-2.40627	-0.4189774	-17.02591	2.438905	1.6755	54736
196.5	1638	22.40543	39.14799	0.05071628	-0.7301717	-20.0947	2.453568	1.6363	54156
197	1514	22.24219	50.8256	2.536692	-1.118835	-19.58331	2.482893	1.6677	55783
197.5	1564	22.42652	40.35165	4.390021	-0.7711036	-20.85697	2.458456	1.6677	55783
198	1602	22.41158	41.38834	5.84797	-0.4805648	-22.02063	2.443793	1.5266	43073
198.5	1647	22.45006	43.02809	6.993056	-0.3354115	-20.79955	2.453568	1.5109	42535
199	1500	22.46399	39.46324	7.942006	-0.3659053	-20.47544	2.463343	1.605	52083
199.5	1508	22.45	36.61597	8.665062	-0.3755527	-20.31817	2.44868	1.5658	52485
200	1598	22.42068	43.70089	9.306699	-0.2219416	-21.58689	2.463343	1.5971	48266
200.5	1558	22.45887	39.41994	9.756862	-0.362387	-20.83753	2.473118	1.558	46613
201	1497	22.75258	22.96549	10.02025	-0.01212823	-21.60876	2.463343	1.5736	48496
201.5	1434	22.69308	35.31877	10.16885	0.5057406	-20.77266	2.478006	1.5031	47814
202	1560	22.65688	31.91538	10.22485	0.8228835	-18.73412	2.453568	1.4718	43164
202.5	1505	22.70046	28.3762	10.25633	0.8448412	-16.54595	2.478006	1.4326	41667
203	1640	22.74926	32.57957	10.21217	0.6872245	-17.35404	2.434018	1.5658	43719
203.5	1575	22.74109	32.93689	10.01278	0.3351866	-17.31353	2.458456	1.5815	49676
204	1615	22.79282	23.12366	9.100885	-0.2454438	-17.54977	2.453568	1.605	51819
204.5	1632	22.76094	18.4089	7.225354	-0.5928183	-20.077	2.44868	1.5736	53587
205	1634	22.69148	25.589	4.379427	-0.4979202	-22.60805	2.419355	1.652	53307
205.5	1625	22.72112	34.98201	1.407413	-0.09725418	-21.83086	2.438905	1.652	53030
206	1425	22.59923	36.42684	-1.246438	0.4027744	-16.551	2.482893	1.6755	54300
206.5	1497	22.76051	29.90149	-2.909154	1.026936	-11.27772	2.443793	1.6207	51819
207	1629	22.80067	23.94369	-4.164992	1.361592	-8.32095	2.434018	1.4169	42713
207.5	1460	22.76665	16.7708	-5.333268	1.810842	-9.96235	2.468231	1.4953	41163
208	1537	22.34692	32.0762	-6.544841	1.626307	-12.76755	2.453568	1.605	53587
208.5	1570	22.39701	39.3486	-7.768952	1.097395	-13.60666	2.453568	1.5971	50041
209	1600	22.36401	35.47179	-8.853013	0.5858389	-12.90202	2.44868	1.5893	48961
209.5	1608	22.51281	32.07989	-9.585262	0.2125731	-11.90818	2.458456	1.6363	47370
210	1561	22.56395	32.82408	-10.14657	0.2218024	-13.10465	2.458456	1.558	50164
210.5	1542	22.61957	24.96584	-10.56128	0.3090571	-11.37321	2.473118	1.6442	52485
211	1611	22.58896	21.15426	-10.88984	0.3956448	-11.85364	2.468231	1.6442	51170
211.5	1562	22.59413	31.99907	-11.34549	0.5321845	-15.18933	2.44868	1.5344	46402
212	1477	22.63278	27.66607	-11.90748	0.6840225	-17.06149	2.44868	1.5188	45675
212.5	1434	22.53285	28.62768	-12.51141	0.7630108	-15.61539	2.473118	1.5031	47702
213	1554	22.6023	30.8549	-12.91989	0.7521116	-15.65648	2.463343	1.5658	47152
213.5	1596	22.59112	28.91362	-13.18729	0.871592	-16.50566	2.468231	1.5423	45170
214	1498	22.54723	23.61942	-13.37854	0.9324584	-15.83498	2.458456	1.4796	40033
214.5	1456	22.65344	29.8937	-13.54369	0.9480547	-14.94889	2.478006	1.5736	49555
215	1506	22.635	24.53764	-13.55921	0.9024211	-14.35391	2.478006	1.4874	45471
215.5	1530	22.57268	25.95699	-13.53496	0.8850781	-15.25721	2.473118	1.4953	43532
216	1535	22.63789	28.96326	-13.38679	0.7380576	-13.97951	2.478006	1.4874	43813
216.5	1607	22.56721	26.8263	-13.2741	0.6461463	-17.60232	2.473118	1.5109	43907
217	1540	22.57765	26.35944	-13.35983	0.6074487	-18.38618	2.478006	1.4874	43164
217.5	1569	22.55172	24.49037	-13.1449	0.5114681	-19.30279	2.463343	1.5031	44192
218	1538	22.65362	23.3224	-12.9048	0.7185947	-19.46435	2.478006	1.5344	45675
218.5	1479	22.69302	28.48861	-12.65875	0.9659421	-18.2912	2.468231	1.5031	46507
219	1483	22.55252	20.34854	-12.35608	1.033248	-17.71608	2.478006	1.5344	43073
219.5	1526	22.49413	27.08024	-12.09493	0.9468675	-17.71459	2.463343	1.5344	44384
220	1579	22.53328	28.48245	-11.83582	0.8790254	-17.11599	2.434018	1.5188	43719
220.5	1569	22.5484	27.53479	-11.67998	0.895211	-18.4207	2.463343	1.5736	44384
221	1573	22.54754	27.34075	-11.5636	0.830768	-18.20134	2.458456	1.5658	48266
221.5	1555	22.52707	34.09665	-11.3104	0.6811361	-16.21473	2.463343	1.6755	52217
222	1696	22.53414	21.70809	-10.43189	0.3362933	-15.4756	2.434018	1.558	47370
222.5	1653	22.48644	28.01273	-8.757334	0.3240689	-20.43127	2.438905	1.5815	49435
223	1648	22.51412	17.58171	-5.846747	0.2446411	-20.96584	2.443793	1.699	54884
223.5	1554	22.27925	28.95219	-2.462238	0.0955375	-23.51464	2.458456	1.7304	57030
224	1323	21.94772	45.58022	0.9703674	-0.2946555	-20.32916	2.502444	1.6598	58500
224.5	1527	22.06112	48.30793	3.289385	-0.6551259	-17.97566	2.463343	1.6128	52620
225	1578	22.14022	34.94093	4.87153	-1.039946	-16.20667	2.463343	1.4326	42446
225.5	1645	22.26782	34.8474	5.910765	-1.202262	-19.53004	2.438905	1.5031	41163
226	1500	22.32055	23.49635	6.996985	-0.6750794	-21.22388	2.463343	1.558	47814
226.5	1579	22.31662	28.10503	7.878876	-0.3834826	-18.8804	2.468231	1.7304	55783
227	1555	22.32529	29.51545	8.594224	-0.306739	-18.59428	2.478006	1.5109	51170
227.5	1546	22.35085	35.28513	9.177923	-0.2538349	-19.65707	2.458456	1.5344	42271
228	1534	22.33254	34.01255	9.655105	0.001388658	-20.69993	2.443793	1.4718	44192
228.5	1562	22.32301	25.29363	10.09356	0.1786908	-21.41914	2.438905	1.5031	45471
229	1668	22.43875	16.36424	10.45323	0.4349713	-19.21676	2.424242	1.4561	46507
229.5	1679	22.35739	24.72726	10.60374	0.009931576	-19.59174	2.434018	1.558	44773
230	1674	22.31023	32.80766	9.896924	-0.6630878	-21.11486	2.443793	1.699	52620
230.5	1708	22.30531	42.72533	7.963046	-1.091894	-22.70546	2.438905	1.6755	57350
231	1653	22.14487	42.75523	4.844439	-1.245701	-28.86307	2.453568	1.6833	56244
231.5	1629	22.35239	26.8665	2.093815	-1.028617	-22.27558	2.458456	1.7069	57030
232	1683	22.42271	23.49881	-0.4234577	-0.7874314	-19.97389	2.44868	1.6598	58002
232.5	1608	22.29781	33.55144	-3.293288	-0.3999929	-22.88335	2.453568	1.5736	51170
233	1499	22.28804	35.70604	-5.88881	-0.1998277	-17.15107	2.482893	1.699	55031
233.5	1591	22.38534	31.17407	-7.565861	0.07540632	-14.09214	2.453568	1.6912	54156
234	1728	22.44754	31.10638	-8.831841	0.2624155	-18.08615	2.419355	1.4953	44096
234.5	1579	22.37962	26.47144	-10.31048	0.5989994	-22.10002	2.458456	1.5188	42982
235	1452	22.55061	21.83075	-11.56408	0.9598549	-20.53743	2.492669	1.6912	53587
235.5	1518	22.6315	17.62862	-12.42101	1.652391	-21.0162	2.453568	1.6285	52756
236	1522	22.66983	17.12543	-13.12484	2.206211	-19.33277	2.473118	1.4718	45777
236.5	1515	22.67944	17.54452	-13.75129	2.724724	-20.33912	2.468231	1.5109	45370
237	1552	22.71238	22.84406	-14.30689	3.059673	-20.48804	2.487781	1.5501	47370
237.5	1475	22.38846	25.04907	-14.98139	3.111127	-21.17587	2.453568	1.4796	45983
238	1520	22.45049	26.96291	-15.59187	2.828701	-21.78292	2.458456	1.3777	42446
238.5	1464	22.40291	26.75984	-16.14249	2.580211	-22.78522	2.453568	1.5815	45170
239	1505	22.40679	24.63846	-16.62914	2.364287	-21.17264	2.473118	1.558	45675
239.5	1523	22.46696	31.65119	-16.98709	2.133113	-22.16374	2.463343	1.5423	45983
240	1599	22.40285	21.63301	-17.31765	1.93612	-22.10013	2.458456	1.4953	44192
240.5	1525	22.41441	22.54909	-17.65052	1.704344	-20.65891	2.463343	1.4953	44288
241	1542	22.43752	14.89598	-18.02008	1.199139	-22.44713	2.463343	1.5971	48844
241.5	1629	22.37648	22.13187	-18.13599	0.6892993	-19.52841	2.44868	1.5971	51170
242	1703	22.43064	24.48544	-17.64193	0.2958595	-20.78197	2.434018	1.5344	46296
242.5	1692	22.45848	31.6598	-16.3595	0.000568783	-20.44246	2.443793	1.6442	49316
243	1625	22.43647	18.21978	-13.64093	-0.2009902	-22.57112	2.458456	1.7304	57838
243.5	1413	22.17796	31.85221	-9.816297	-0.1302778	-30.21926	2.44868	1.6912	58669
244	1512	22.32289	20.75837	-6.453235	0.250667	-24.64198	2.463343	1.6442	55936
244.5	1687	22.36555	24.66513	-3.634242	0.4296535	-22.22672	2.434018	1.5893	50287
245	1646	22.46229	25.20912	-0.5691932	0.6035505	-23.69913	2.438905	1.5266	42010
245.5	1561	22.26472	37.88335	2.516244	0.7917584	-26.86878	2.507331	1.605	54300
246	1382	22.18374	25.83884	5.354695	1.060782	-21.54762	2.502444	1.6598	55631
246.5	1554	22.3031	28.37046	7.288035	1.45039	-22.53817	2.44868	1.5971	50164
247	1590	22.55837	10.97541	8.783257	1.732965	-22.48934	2.468231	1.3385	36524
247.5	1537	22.61687	12.10468	10.06872	2.448719	-25.44709	2.482893	1.5971	43347
248	1421	22.56899	18.67351	11.35074	3.029158	-24.61181	2.478006	1.6285	49919
248.5	1537	22.28493	36.55598	12.49193	2.974907	-21.97859	2.463343	1.5109	46192
249	1639	21.99222	30.84341	13.35833	1.825261	-22.09682	2.438905	1.4874	39721
249.5	1635	21.93364	38.90103	14.10474	0.8791892	-22.11907	2.443793	1.605	45070
250	1690	21.96478	37.19231	14.84514	0.01544602	-22.1069	2.434018	1.6207	50164
250.5	1704	22.04588	36.43874	15.28222	-0.6261798	-22.93732	2.434018	1.5893	50788
251	1748	22.17716	31.97036	14.87391	-1.029407	-23.94705	2.42913	1.6598	55783
251.5	1694	22.21637	29.51176	13.18772	-1.48463	-25.48234	2.434018	1.7147	55631
252	1777	22.07636	40.91204	10.02477	-1.881951	-28.61899	2.404692	1.652	58002
252.5	1628	22.10906	38.1593	6.313081	-2.007715	-28.41456	2.44868	1.699	57512
253	1463	22.07796	36.27382	3.559876	-1.905755	-23.33025	2.458456	1.699	57512
253.5	1694	22.21502	34.45726	1.439797	-1.471209	-19.13158	2.434018	1.699	56400
254	1639	22.49197	24.78205	-0.6093764	-0.7979717	-16.17518	2.44868	1.5109	45777
254.5	1530	22.42578	24.93384	-2.409012	0.08955956	-19.79284	2.473118	1.6207	52756
255	1237	22.34004	31.59129	-4.372796	0.6651598	-15.65582	2.497556	1.6598	55936
255.5	1456	22.46604	25.39085	-5.773143	1.323792	-13.30965	2.453568	1.5815	49435
256	1620	22.52879	16.01923	-6.637733	1.61918	-9.724393	2.458456	1.3385	37739
256.5	1511	22.63488	11.27885	-7.295489	2.024327	-13.13424	2.482893	1.5266	33361
257	1409	22.60402	17.12073	-7.963183	2.189523	-11.19655	2.482893	1.6833	51170
257.5	1441	22.54827	17.4678	-8.549585	2.182437	-11.76408	2.478006	1.5109	50164
258	1499	22.53584	27.11625	-9.130485	2.286781	-13.41779	2.487781	1.4874	42624
258.5	1494	22.52965	20.58074	-9.781304	2.597569	-17.49628	2.468231	1.4091	39876
259	1471	22.44514	13.76083	-10.62921	2.757335	-20.85984	2.468231	1.3856	40270
259.5	1495	22.38005	17.70984	-11.4101	2.637592	-17.79954	2.473118	1.5501	46720
260	1430	22.35448	26.78117	-11.85541	2.185876	-16.46423	2.468231	1.558	44773
260.5	1560	22.37495	24.62985	-12.1547	1.5553	-15.31554	2.463343	1.5266	42892
261	1514	22.33786	16.39292	-12.42254	1.239488	-17.05843	2.478006	1.5423	43907
261.5	1555	22.37667	22.64222	-12.60699	0.993668	-17.49673	2.453568	1.4796	43256
262	1558	22.30961	17.92727	-12.70015	0.8581713	-18.68758	2.468231	1.5031	44481
262.5	1672	22.39947	16.44506	-12.84472	0.6936542	-16.15124	2.42913	1.5266	44773
263	1741	22.38404	23.89633	-12.53251	0.6006117	-16.76566	2.424242	1.605	47814
263.5	1632	22.36745	31.25735	-10.72853	0.3517179	-18.0584	2.453568	1.6363	56090
264	1661	22.28601	22.29515	-7.621461	0.4543269	-24.27036	2.44868	1.7069	57512
264.5	1563	22.02501	39.56262	-3.858701	0.5568172	-25.14811	2.482893	1.7225	57030
265	1452	22.06143	28.54686	-1.277446	0.5406033	-16.23427	2.478006	1.652	53447
265.5	1634	22.18312	26.81645	0.5119598	0.6539794	-18.19425	2.438905	1.5736	45777
266	1710	22.23658	26.19457	2.16948	0.6723325	-21.25067	2.44868	1.4796	33802
266.5	1655	21.9117	46.06964	3.666618	0.5865301	-23.4978	2.438905	1.605	47370
267	1632	21.69345	40.4579	5.042624	-0.09640145	-22.75456	2.443793	1.6285	54444
267.5	1575	21.95878	40.12725	6.158252	-0.4700855	-24.10238	2.438905	1.5971	53447
268	1590	22.14256	28.48574	7.062838	-0.0196484	-25.46307	2.453568	1.6363	52350
268.5	1559	22.1393	30.46148	7.821853	0.317971	-22.1935	2.473118	1.5971	51042
269	1531	22.1428	28.336	8.47298	0.2573412	-19.41685	2.473118	1.5658	48039
269.5	1629	22.25987	32.14083	8.923714	0.03685557	-19.99572	2.458456	1.605	47261
270	1485	22.37231	15.95892	9.550302	0.1283142	-19.16928	2.468231	1.5501	44675
270.5	1497	22.35344	27.5832	10.23142	0.1966911	-19.29013	2.473118	1.5188	46720
271	1628	22.32973	19.04127	10.76924	-0.04052061	-18.93655	2.453568	1.5344	51042
271.5	1664	22.31047	25.74612	10.94826	-0.2710462	-18.62897	2.458456	1.6128	46935
272	1694	22.37802	22.38951	10.54279	-0.4328025	-20.57575	2.419355	1.5344	49316
272.5	1649	22.34766	35.43897	9.172481	-0.5981464	-21.76926	2.468231	1.6598	53728
273	1672	22.22762	33.80784	6.738986	-0.7174583	-24.22402	2.443793	1.6363	56244
273.5	1585	22.15135	30.05041	3.534946	-0.652576	-27.24723	2.458456	1.652	55031
274	1396	22.14723	27.20249	1.095791	-0.3246328	-20.32918	2.492669	1.6755	53030
274.5	1662	22.27771	23.56116	-0.7580342	0.08602574	-15.73995	2.434018	1.6363	50536
275	1637	22.37771	27.58566	-2.548844	0.2800506	-14.53568	2.438905	1.4874	39567
275.5	1558	22.31158	22.03218	-4.353466	0.717494	-18.45616	2.473118	1.605	48266
276	1487	22.35503	30.05246	-6.115777	1.093811	-16.8198	2.492669	1.6128	54736
276.5	1539	22.35141	21.22974	-7.342442	1.431856	-14.16382	2.468231	1.5815	50164
277	1627	22.14077	19.76517	-8.226891	1.367055	-11.14851	2.44868	1.4482	42982
277.5	1625	22.19137	24.21947	-9.078495	1.093843	-16.94669	2.438905	1.5501	43440
278	1579	22.22504	26.53954	-9.922318	0.8832477	-18.98281	2.473118	1.6833	51688
278.5	1461	22.18663	26.53954	-10.72681	0.7219517	-19.68765	2.458456	1.6363	53587
279	1600	22.16702	34.29152	-11.44432	0.6077576	-20.04521	2.453568	1.5501	49197
279.5	1554	22.27353	22.92529	-11.94519	0.794409	-20.32793	2.453568	1.5815	47370
280	1496	22.21367	18.38593	-12.36835	1.051458	-19.81501	2.458456	1.5423	47152
280.5	1520	22.30467	17.39756	-12.6081	1.124053	-19.13556	2.482893	1.5344	45170
281	1523	22.34305	22.4974	-12.88501	1.366216	-20.46151	2.478006	1.5109	45471
281.5	1456	22.39222	19.22898	-13.14009	1.516683	-20.81471	2.482893	1.4718	43256
282	1446	22.36136	13.42771	-13.32973	1.566466	-20.36452	2.482893	1.4796	42358
282.5	1502	22.35774	20.88596	-13.51332	1.540527	-20.20562	2.487781	1.4718	42982
283	1457	22.30537	22.66314	-13.61489	1.697743	-21.19344	2.482893	1.4718	42271
283.5	1522	22.36026	21.35405	-13.55579	1.709435	-19.90405	2.482893	1.4874	41329
284	1604	22.32602	22.30048	-13.49578	1.566863	-15.36076	2.453568	1.5266	41246
284.5	1659	22.38472	27.11511	-13.30373	1.426978	-19.29548	2.44868	1.4404	41837
285	1650	22.40082	12.85952	-12.32231	1.106662	-20.27676	2.473118	1.6128	51042
285.5	1701	22.22805	18.43548	-9.608909	0.5528691	-23.23794	2.443793	1.7069	56871
286	1553	21.99271	33.70774	-5.266999	0.443153	-34.45085	2.458456	1.6598	56090
286.5	1434	21.92731	37.00283	-2.561448	0.6202761	-19.43914	2.497556	1.7304	57512
287	1561	22.12315	29.74729	-0.5015096	0.7302998	-18.99239	2.468231	1.6677	54736
287.5	1788	21.79461	45.16792	1.827381	0.3317388	-18.62145	2.424242	1.3777	32511
288	1754	21.69	33.81358	4.325548	-0.5138748	-22.17496	2.42913	1.558	48844
288.5	1611	21.52573	46.3476	6.897616	-1.235736	-21.81975	2.44868	1.7696	60049
289	1606	21.51428	46.59763	8.960937	-1.675201	-22.72679	2.443793	1.7539	60764
289.5	1534	21.95245	29.0367	10.49011	-1.401522	-20.37735	2.458456	1.6442	53447
290	1607	22.10777	26.12847	11.34424	-0.8559263	-18.5612	2.458456	1.605	50412
290.5	1636	22.11355	33.27863	11.81186	-0.4664042	-18.25043	2.458456	1.5501	48496
291	1540	22.10377	18.62305	11.95276	-0.3144268	-18.51603	2.463343	1.5501	44971
291.5	1495	22.13979	22.78416	11.94954	-0.2396408	-20.08313	2.473118	1.6207	48039
292	1475	22.19117	16.21655	12.11756	0.2949302	-23.10367	2.44868	1.4561	46935
292.5	1511	22.27864	14.44307	12.29193	1.117371	-23.79935	2.492669	1.5266	44288
293	1486	22.32824	17.22781	12.41981	1.523926	-22.13718	2.478006	1.5423	46507
293.5	1605	22.30508	26.91477	12.5811	1.575231	-17.37334	2.468231	1.5658	41329
294	1617	22.36149	26.31924	12.75671	1.470048	-20.28609	2.453568	1.4639	41246
294.5	1659	22.34649	17.94902	12.80996	1.267051	-21.22744	2.463343	1.6207	48611
295	1617	22.32932	12.21799	11.98956	0.5639457	-21.76717	2.453568	1.6833	54012
295.5	1660	22.32854	14.17026	9.618265	0.2354019	-25.93847	2.434018	1.5893	53587
296	1597	22.2806	27.69766	6.44427	0.3281926	-26.90861	2.44868	1.6207	53168
296.5	1417	22.32658	32.89587	3.520066	0.6414986	-24.05495	2.473118	1.699	53030
297	1561	22.33887	26.37913	0.9180375	1.007419	-20.0317	2.443793	1.5893	50788
297.5	1549	22.23561	22.72262	-1.65434	1.198058	-17.78369	2.453568	1.4561	42982
298	1544	22.27003	13.57581	-3.825647	1.341512	-14.18607	2.473118	1.5736	44971
298.5	1636	22.14725	30.42556	-5.476365	1.204204	-17.48632	2.44868	1.5501	49079
299	1696	21.9173	34.80474	-7.313561	0.980822	-21.61925	2.438905	1.4561	44675
299.5	1676	21.8428	34.46095	-9.299215	0.5815736	-23.36814	2.443793	1.5971	50662
300	1593	21.81365	44.61546	-10.94975	0.002929522	-21.3483	2.458456	1.699	55783
300.5	1645	22.07525	26.95266	-12.1542	-0.1411399	-22.34187	2.453568	1.6677	55936
301	1521	22.23174	21.19036	-13.21434	0.2712282	-23.77179	2.468231	1.605	51298
301.5	1580	22.24625	22.83995	-13.95182	0.848905	-22.20936	2.458456	1.5815	48727
302	1506	22.09935	27.22916	-14.55339	1.132764	-21.87662	2.468231	1.558	48039
302.5	1561	22.21207	21.93044	-15.08156	1.237524	-22.9366	2.453568	1.4718	46296
303	1534	22.10451	34.6673	-15.62495	1.494457	-25.48564	2.458456	1.558	45983
303.5	1636	22.1251	24.30412	-16.15898	1.583938	-25.72083	2.453568	1.558	44578
304	1569	22.00051	26.63143	-16.71616	1.320751	-25.29625	2.478006	1.5893	45270
304.5	1596	21.98171	29.63647	-17.18831	0.9788918	-24.58802	2.473118	1.5815	45983
305	1409	22.17267	22.74232	-17.25003	0.8427023	-22.61422	2.478006	1.5971	47152
305.5	1455	22.27679	24.57898	-17.05522	1.339245	-24.57627	2.482893	1.5344	45370
306	1624	22.30568	28.29333	-16.71833	1.587001	-22.18863	2.42913	1.362	41246
306.5	1683	22.34883	17.80379	-16.07302	1.502749	-17.9781	2.42913	1.4639	43719
307	1700	22.38454	12.20026	-15.03415	1.327627	-19.16137	2.453568	1.5031	47481
307.5	1706	22.39093	9.022918	-12.46789	0.7671302	-19.82711	2.434018	1.7382	54884
308	1639	22.32283	19.1101	-8.352209	0.3949671	-29.20418	2.487781	1.7304	56090
308.5	1550	21.87992	41.9553	-4.396807	0.2624201	-23.05786	2.487781	1.6285	57030
309	1664	21.72233	34.54915	-1.202543	0.1576113	-23.74244	2.438905	1.5736	54736
309.5	1776	21.56909	47.33903	1.758932	-0.2885582	-21.86308	2.424242	1.2915	42183
310	1705	21.40469	46.30717	4.456614	-0.991597	-22.06068	2.42913	1.652	51951
310.5	1500	21.9294	29.51504	6.890577	-0.9951056	-21.10899	2.463343	1.7617	59351
311	1533	22.29523	16.22681	8.835453	0.1717288	-21.92375	2.473118	1.7304	58002
311.5	1639	21.95344	33.2897	10.58658	1.128764	-25.55082	2.42913	1.5109	46192
312	1646	21.60832	33.87102	12.43031	0.5998857	-25.74135	2.42913	1.5423	42183
312.5	1624	21.55018	38.96748	13.99425	-0.1515273	-25.02905	2.458456	1.6363	51298
313	1668	21.52648	36.19542	15.15943	-0.6481181	-26.85841	2.443793	1.6833	54590
313.5	1593	21.64882	33.63759	16.03186	-0.5613626	-28.20271	2.44868	1.6912	53168
314	1525	21.72873	34.35633	16.64758	-0.4253857	-25.30206	2.468231	1.6207	50536
314.5	1434	21.83038	37.85418	16.84027	-0.1512236	-24.49689	2.478006	1.5736	51042
315	1593	21.86511	23.69408	16.83015	0.1891552	-26.75146	2.458456	1.5344	48039
315.5	1573	21.84858	30.35769	16.67703	0.6589203	-27.20057	2.453568	1.5109	40833
316	1581	21.84833	26.94691	16.46652	1.005184	-26.32934	2.463343	1.5971	47261
316.5	1610	21.91643	26.59205	16.15258	0.9640487	-23.746	2.468231	1.5423	48381
317	1631	21.89676	28.43036	15.72744	0.7017432	-23.27428	2.463343	1.5893	45880
317.5	1677	21.85718	27.42074	14.98769	0.3175135	-23.23762	2.453568	1.558	47481
318	1744	21.91465	36.337	13.52914	-0.324097	-24.23925	2.44868	1.5893	48153
318.5	1699	21.95184	25.52829	11.0669	-1.190005	-25.1722	2.443793	1.6677	54300
319	1700	21.85172	45.28566	7.550505	-1.848885	-29.75817	2.453568	1.7069	57190
319.5	1687	21.98083	40.77831	3.656581	-1.790481	-33.92268	2.438905	1.7225	58002
320	1544	22.17808	32.40111	0.5069063	-1.054061	-29.59484	2.463343	1.6912	57674
320.5	1623	22.10408	17.07848	-2.374279	-0.2779414	-29.58072	2.487781	1.6598	55330
321	1585	22.16849	13.25787	-4.856105	0.6567296	-24.43705	2.473118	1.5109	46935
321.5	1628	22.11502	34.8236	-6.885606	1.233562	-21.10522	2.468231	1.5501	45270
322	1580	22.09886	19.99942	-8.751193	1.149086	-21.67182	2.468231	1.4718	40671
322.5	1573	22.27882	20.28249	-10.47149	1.434627	-25.5599	2.453568	1.5658	46613
323	1510	22.30494	28.59199	-12.02417	1.917485	-26.65684	2.473118	1.5736	50788
323.5	1679	21.51754	39.06758	-13.56913	2.075901	-28.35453	2.419355	1.4639	49079
324	1706	21.65724	27.99878	-15.17414	1.096408	-28.81742	2.453568	1.4639	45471
324.5	1604	21.78675	46.24235	-16.07212	0.8266762	-29.98801	2.468231	1.7069	54444
325	1548	22.02904	21.50543	-16.60657	1.22517	-30.30665	2.473118	1.6128	54884
325.5	1504	22.24274	28.25067	-16.86042	1.869062	-29.61057	2.463343	1.5736	49919
326	1466	22.25188	20.09059	-16.86486	2.362194	-24.86307	2.463343	1.558	46507
326.5	1517	22.3342	20.3871	-16.43034	2.304524	-20.28311	2.453568	1.5658	43625
327	1497	22.31195	26.24006	-15.87149	2.01777	-14.28235	2.482893	1.3934	44001
327.5	1537	22.38758	26.14124	-14.86485	1.388889	-4.383873	2.473118	1.558	42892
328	1526	22.39296	19.40703	-13.67021	0.8833368	-1.316545	2.473118	1.5423	41752
328.5	1548	22.38614	24.36155	-12.25957	0.5192	3.016183	2.478006	1.5344	42802
329	1420	22.4377	24.18145	-10.74582	0.2762072	5.838265	2.492669	1.5266	44578
329.5	1510	22.38085	20.11142	-8.899353	0.01472882	12.09099	2.478006	1.4796	44481
330	1633	22.2492	28.72491	-6.937677	0.006817486	9.510709	2.473118	1.4718	44675
330.5	1605	22.27882	30.80567	-5.134551	0.09611857	6.174452	2.458456	1.4874	44773
331	1622	22.21238	25.94756	-3.464697	0.3734079	2.878622	2.443793	1.6285	50041
331.5	1674	21.9436	41.08927	-2.403137	0.4223718	-4.903928	2.443793	1.605	50041
332	1694	21.72289	49.46769	-1.768842	-0.01273121	-5.096919	2.443793	1.6207	50536
332.5	1707	21.80245	37.71378	-1.33838	-0.5651976	-2.691581	2.44868	1.6598	55480
333	1669	21.8669	42.84881	-0.9375597	-0.9090742	-4.744005	2.42913	1.7382	56244
333.5	1641	22.05663	37.26251	-0.9582747	-0.6953899	-9.956659	2.453568	1.605	53728
334	1638	22.0412	33.50016	-1.244478	-0.233165	-12.37393	2.42913	1.6598	53587
334.5	1571	22.02313	37.22682	-1.531193	0.1886744	-11.62753	2.458456	1.5658	50164
335	1496	21.9881	34.38464	-1.808584	0.2317651	-7.469681	2.487781	1.6912	53587
335.5	1624	22.01705	28.03078	-2.163785	0.5571609	-11.41153	2.434018	1.5893	51298
336	1618	21.99168	38.33461	-2.800697	0.8242849	-16.17864	2.42913	1.4874	38449
336.5	1547	21.97802	39.14922	-3.517538	0.9463699	-12.58091	2.453568	1.6755	52485
